word,phonemes
90,"['C1-0', 'C2-2', 'V1-1']"
91,"['C1-0', 'C2-2', 'V1-2']"
92,"['C1-0', 'C2-2', 'V1-3']"
93,"['C1-0', 'C2-2', 'C2-0']"
94,"['C1-0', 'C2-2', 'C2-1']"
95,"['C1-0', 'C2-2', 'C2-3']"
96,"['C1-0', 'C2-3', 'C1-1']"
97,"['C1-0', 'C2-3', 'C1-2']"
98,"['C1-0', 'C2-3', 'C1-3']"
99,"['C1-0', 'C2-3', 'V1-0']"
100,"['C1-0', 'C2-3', 'V1-1']"
101,"['C1-0', 'C2-3', 'V1-2']"
102,"['C1-0', 'C2-3', 'V1-3']"
103,"['C1-0', 'C2-3', 'C2-0']"
104,"['C1-0', 'C2-3', 'C2-1']"
105,"['C1-0', 'C2-3', 'C2-2']"
106,"['C1-1', 'C1-0', 'C1-2']"
107,"['C1-1', 'C1-0', 'C1-3']"
108,"['C1-1', 'C1-0', 'V1-0']"
109,"['C1-1', 'C1-0', 'V1-1']"
110,"['C1-1', 'C1-0', 'V1-2']"
111,"['C1-1', 'C1-0', 'V1-3']"
112,"['C1-1', 'C1-0', 'C2-0']"
113,"['C1-1', 'C1-0', 'C2-1']"
114,"['C1-1', 'C1-0', 'C2-2']"
115,"['C1-1', 'C1-0', 'C2-3']"
116,"['C1-1', 'C1-2', 'C1-0']"
117,"['C1-1', 'C1-2', 'C1-3']"
118,"['C1-1', 'C1-2', 'V1-0']"
119,"['C1-1', 'C1-2', 'V1-1']"
120,"['C1-1', 'C1-2', 'V1-2']"
121,"['C1-1', 'C1-2', 'V1-3']"
122,"['C1-1', 'C1-2', 'C2-0']"
123,"['C1-1', 'C1-2', 'C2-1']"
124,"['C1-1', 'C1-2', 'C2-2']"
125,"['C1-1', 'C1-2', 'C2-3']"
126,"['C1-1', 'C1-3', 'C1-0']"
127,"['C1-1', 'C1-3', 'C1-2']"
128,"['C1-1', 'C1-3', 'V1-0']"
129,"['C1-1', 'C1-3', 'V1-1']"
130,"['C1-1', 'C1-3', 'V1-2']"
131,"['C1-1', 'C1-3', 'V1-3']"
132,"['C1-1', 'C1-3', 'C2-0']"
133,"['C1-1', 'C1-3', 'C2-1']"
134,"['C1-1', 'C1-3', 'C2-2']"
135,"['C1-1', 'C1-3', 'C2-3']"
136,"['C1-1', 'V1-0', 'C1-0']"
137,"['C1-1', 'V1-0', 'C1-2']"
138,"['C1-1', 'V1-0', 'C1-3']"
139,"['C1-1', 'V1-0', 'V1-1']"
140,"['C1-1', 'V1-0', 'V1-2']"
141,"['C1-1', 'V1-0', 'V1-3']"
142,"['C1-1', 'V1-0', 'C2-1']"
143,"['C1-1', 'V1-1', 'C1-0']"
144,"['C1-1', 'V1-1', 'C1-2']"
145,"['C1-1', 'V1-1', 'C1-3']"
146,"['C1-1', 'V1-1', 'V1-0']"
147,"['C1-1', 'V1-1', 'V1-2']"
148,"['C1-1', 'V1-1', 'V1-3']"
149,"['C1-1', 'V1-1', 'C2-1']"
150,"['C1-1', 'V1-1', 'C2-3']"
151,"['C1-1', 'V1-2', 'C1-0']"
152,"['C1-1', 'V1-2', 'C1-2']"
153,"['C1-1', 'V1-2', 'C1-3']"
154,"['C1-1', 'V1-2', 'V1-0']"
155,"['C1-1', 'V1-2', 'V1-1']"
156,"['C1-1', 'V1-2', 'V1-3']"
157,"['C1-1', 'V1-2', 'C2-0']"
158,"['C1-1', 'V1-2', 'C2-3']"
159,"['C1-1', 'V1-3', 'C1-0']"
160,"['C1-1', 'V1-3', 'C1-2']"
161,"['C1-1', 'V1-3', 'C1-3']"
162,"['C1-1', 'V1-3', 'V1-0']"
163,"['C1-1', 'V1-3', 'V1-1']"
164,"['C1-1', 'V1-3', 'V1-2']"
165,"['C1-1', 'V1-3', 'C2-0']"
166,"['C1-1', 'V1-3', 'C2-1']"
167,"['C1-1', 'V1-3', 'C2-3']"
168,"['C1-1', 'C2-0', 'C1-0']"
169,"['C1-1', 'C2-0', 'C1-2']"
170,"['C1-1', 'C2-0', 'C1-3']"
171,"['C1-1', 'C2-0', 'V1-0']"
172,"['C1-1', 'C2-0', 'V1-1']"
173,"['C1-1', 'C2-0', 'V1-2']"
174,"['C1-1', 'C2-0', 'V1-3']"
175,"['C1-1', 'C2-0', 'C2-1']"
176,"['C1-1', 'C2-0', 'C2-2']"
177,"['C1-1', 'C2-0', 'C2-3']"
178,"['C1-1', 'C2-1', 'C1-0']"
179,"['C1-1', 'C2-1', 'C1-2']"
180,"['C1-1', 'C2-1', 'C1-3']"
181,"['C1-1', 'C2-1', 'V1-0']"
182,"['C1-1', 'C2-1', 'V1-1']"
183,"['C1-1', 'C2-1', 'V1-2']"
184,"['C1-1', 'C2-1', 'V1-3']"
185,"['C1-1', 'C2-1', 'C2-0']"
186,"['C1-1', 'C2-1', 'C2-2']"
187,"['C1-1', 'C2-1', 'C2-3']"
188,"['C1-1', 'C2-2', 'C1-0']"
189,"['C1-1', 'C2-2', 'C1-2']"
190,"['C1-1', 'C2-2', 'C1-3']"
191,"['C1-1', 'C2-2', 'V1-0']"
192,"['C1-1', 'C2-2', 'V1-1']"
193,"['C1-1', 'C2-2', 'V1-2']"
194,"['C1-1', 'C2-2', 'V1-3']"
195,"['C1-1', 'C2-2', 'C2-0']"
196,"['C1-1', 'C2-2', 'C2-1']"
197,"['C1-1', 'C2-2', 'C2-3']"
198,"['C1-1', 'C2-3', 'C1-0']"
199,"['C1-1', 'C2-3', 'C1-2']"
200,"['C1-1', 'C2-3', 'C1-3']"
201,"['C1-1', 'C2-3', 'V1-0']"
202,"['C1-1', 'C2-3', 'V1-1']"
203,"['C1-1', 'C2-3', 'V1-2']"
204,"['C1-1', 'C2-3', 'V1-3']"
205,"['C1-1', 'C2-3', 'C2-0']"
206,"['C1-1', 'C2-3', 'C2-1']"
207,"['C1-1', 'C2-3', 'C2-2']"
208,"['C1-2', 'C1-0', 'C1-1']"
209,"['C1-2', 'C1-0', 'C1-3']"
210,"['C1-2', 'C1-0', 'V1-0']"
211,"['C1-2', 'C1-0', 'V1-1']"
212,"['C1-2', 'C1-0', 'V1-2']"
213,"['C1-2', 'C1-0', 'V1-3']"
214,"['C1-2', 'C1-0', 'C2-0']"
215,"['C1-2', 'C1-0', 'C2-1']"
216,"['C1-2', 'C1-0', 'C2-2']"
217,"['C1-2', 'C1-0', 'C2-3']"
218,"['C1-2', 'C1-1', 'C1-0']"
219,"['C1-2', 'C1-1', 'C1-3']"
220,"['C1-2', 'C1-1', 'V1-0']"
221,"['C1-2', 'C1-1', 'V1-1']"
222,"['C1-2', 'C1-1', 'V1-2']"
223,"['C1-2', 'C1-1', 'V1-3']"
224,"['C1-2', 'C1-1', 'C2-0']"
225,"['C1-2', 'C1-1', 'C2-1']"
226,"['C1-2', 'C1-1', 'C2-2']"
227,"['C1-2', 'C1-1', 'C2-3']"
228,"['C1-2', 'C1-3', 'C1-0']"
229,"['C1-2', 'C1-3', 'C1-1']"
230,"['C1-2', 'C1-3', 'V1-0']"
231,"['C1-2', 'C1-3', 'V1-1']"
232,"['C1-2', 'C1-3', 'V1-2']"
233,"['C1-2', 'C1-3', 'V1-3']"
234,"['C1-2', 'C1-3', 'C2-0']"
235,"['C1-2', 'C1-3', 'C2-1']"
236,"['C1-2', 'C1-3', 'C2-2']"
237,"['C1-2', 'C1-3', 'C2-3']"
238,"['C1-2', 'V1-0', 'C1-0']"
239,"['C1-2', 'V1-0', 'C1-1']"
240,"['C1-2', 'V1-0', 'C1-3']"
241,"['C1-2', 'V1-0', 'V1-1']"
242,"['C1-2', 'V1-0', 'V1-2']"
243,"['C1-2', 'V1-0', 'V1-3']"
244,"['C1-2', 'V1-0', 'C2-0']"
245,"['C1-2', 'V1-0', 'C2-3']"
246,"['C1-2', 'V1-1', 'C1-0']"
247,"['C1-2', 'V1-1', 'C1-1']"
248,"['C1-2', 'V1-1', 'C1-3']"
249,"['C1-2', 'V1-1', 'V1-0']"
250,"['C1-2', 'V1-1', 'V1-2']"
251,"['C1-2', 'V1-1', 'V1-3']"
252,"['C1-2', 'V1-1', 'C2-2']"
253,"['C1-2', 'V1-1', 'C2-3']"
254,"['C1-2', 'V1-2', 'C1-0']"
255,"['C1-2', 'V1-2', 'C1-1']"
256,"['C1-2', 'V1-2', 'C1-3']"
257,"['C1-2', 'V1-2', 'V1-0']"
258,"['C1-2', 'V1-2', 'V1-1']"
259,"['C1-2', 'V1-2', 'V1-3']"
260,"['C1-2', 'V1-2', 'C2-0']"
261,"['C1-2', 'V1-2', 'C2-3']"
262,"['C1-2', 'V1-3', 'C1-0']"
263,"['C1-2', 'V1-3', 'C1-1']"
264,"['C1-2', 'V1-3', 'C1-3']"
265,"['C1-2', 'V1-3', 'V1-0']"
266,"['C1-2', 'V1-3', 'V1-1']"
267,"['C1-2', 'V1-3', 'V1-2']"
268,"['C1-2', 'V1-3', 'C2-0']"
269,"['C1-2', 'V1-3', 'C2-2']"
270,"['C1-2', 'C2-0', 'C1-0']"
271,"['C1-2', 'C2-0', 'C1-1']"
272,"['C1-2', 'C2-0', 'C1-3']"
273,"['C1-2', 'C2-0', 'V1-0']"
274,"['C1-2', 'C2-0', 'V1-1']"
275,"['C1-2', 'C2-0', 'V1-2']"
276,"['C1-2', 'C2-0', 'V1-3']"
277,"['C1-2', 'C2-0', 'C2-1']"
278,"['C1-2', 'C2-0', 'C2-2']"
279,"['C1-2', 'C2-0', 'C2-3']"
280,"['C1-2', 'C2-1', 'C1-0']"
281,"['C1-2', 'C2-1', 'C1-1']"
282,"['C1-2', 'C2-1', 'C1-3']"
283,"['C1-2', 'C2-1', 'V1-0']"
284,"['C1-2', 'C2-1', 'V1-1']"
285,"['C1-2', 'C2-1', 'V1-2']"
286,"['C1-2', 'C2-1', 'V1-3']"
287,"['C1-2', 'C2-1', 'C2-0']"
288,"['C1-2', 'C2-1', 'C2-2']"
289,"['C1-2', 'C2-1', 'C2-3']"
290,"['C1-2', 'C2-2', 'C1-0']"
291,"['C1-2', 'C2-2', 'C1-1']"
292,"['C1-2', 'C2-2', 'C1-3']"
293,"['C1-2', 'C2-2', 'V1-0']"
294,"['C1-2', 'C2-2', 'V1-1']"
295,"['C1-2', 'C2-2', 'V1-2']"
296,"['C1-2', 'C2-2', 'V1-3']"
297,"['C1-2', 'C2-2', 'C2-0']"
298,"['C1-2', 'C2-2', 'C2-1']"
299,"['C1-2', 'C2-2', 'C2-3']"
300,"['C1-2', 'C2-3', 'C1-0']"
301,"['C1-2', 'C2-3', 'C1-1']"
302,"['C1-2', 'C2-3', 'C1-3']"
303,"['C1-2', 'C2-3', 'V1-0']"
304,"['C1-2', 'C2-3', 'V1-1']"
305,"['C1-2', 'C2-3', 'V1-2']"
306,"['C1-2', 'C2-3', 'V1-3']"
307,"['C1-2', 'C2-3', 'C2-0']"
308,"['C1-2', 'C2-3', 'C2-1']"
309,"['C1-2', 'C2-3', 'C2-2']"
310,"['C1-3', 'C1-0', 'C1-1']"
311,"['C1-3', 'C1-0', 'C1-2']"
312,"['C1-3', 'C1-0', 'V1-0']"
313,"['C1-3', 'C1-0', 'V1-1']"
314,"['C1-3', 'C1-0', 'V1-2']"
315,"['C1-3', 'C1-0', 'V1-3']"
316,"['C1-3', 'C1-0', 'C2-0']"
317,"['C1-3', 'C1-0', 'C2-1']"
318,"['C1-3', 'C1-0', 'C2-2']"
319,"['C1-3', 'C1-0', 'C2-3']"
320,"['C1-3', 'C1-1', 'C1-0']"
321,"['C1-3', 'C1-1', 'C1-2']"
322,"['C1-3', 'C1-1', 'V1-0']"
323,"['C1-3', 'C1-1', 'V1-1']"
324,"['C1-3', 'C1-1', 'V1-2']"
325,"['C1-3', 'C1-1', 'V1-3']"
326,"['C1-3', 'C1-1', 'C2-0']"
327,"['C1-3', 'C1-1', 'C2-1']"
328,"['C1-3', 'C1-1', 'C2-2']"
329,"['C1-3', 'C1-1', 'C2-3']"
330,"['C1-3', 'C1-2', 'C1-0']"
331,"['C1-3', 'C1-2', 'C1-1']"
332,"['C1-3', 'C1-2', 'V1-0']"
333,"['C1-3', 'C1-2', 'V1-1']"
334,"['C1-3', 'C1-2', 'V1-2']"
335,"['C1-3', 'C1-2', 'V1-3']"
336,"['C1-3', 'C1-2', 'C2-0']"
337,"['C1-3', 'C1-2', 'C2-1']"
338,"['C1-3', 'C1-2', 'C2-2']"
339,"['C1-3', 'C1-2', 'C2-3']"
340,"['C1-3', 'V1-0', 'C1-0']"
341,"['C1-3', 'V1-0', 'C1-1']"
342,"['C1-3', 'V1-0', 'C1-2']"
343,"['C1-3', 'V1-0', 'V1-1']"
344,"['C1-3', 'V1-0', 'V1-2']"
345,"['C1-3', 'V1-0', 'V1-3']"
346,"['C1-3', 'V1-0', 'C2-1']"
347,"['C1-3', 'V1-1', 'C1-0']"
348,"['C1-3', 'V1-1', 'C1-1']"
349,"['C1-3', 'V1-1', 'C1-2']"
350,"['C1-3', 'V1-1', 'V1-0']"
351,"['C1-3', 'V1-1', 'V1-2']"
352,"['C1-3', 'V1-1', 'V1-3']"
353,"['C1-3', 'V1-1', 'C2-0']"
354,"['C1-3', 'V1-1', 'C2-1']"
355,"['C1-3', 'V1-1', 'C2-2']"
356,"['C1-3', 'V1-1', 'C2-3']"
357,"['C1-3', 'V1-2', 'C1-0']"
358,"['C1-3', 'V1-2', 'C1-1']"
359,"['C1-3', 'V1-2', 'C1-2']"
360,"['C1-3', 'V1-2', 'V1-0']"
361,"['C1-3', 'V1-2', 'V1-1']"
362,"['C1-3', 'V1-2', 'V1-3']"
363,"['C1-3', 'V1-2', 'C2-0']"
364,"['C1-3', 'V1-2', 'C2-3']"
365,"['C1-3', 'V1-3', 'C1-0']"
366,"['C1-3', 'V1-3', 'C1-1']"
367,"['C1-3', 'V1-3', 'C1-2']"
368,"['C1-3', 'V1-3', 'V1-0']"
369,"['C1-3', 'V1-3', 'V1-1']"
370,"['C1-3', 'V1-3', 'V1-2']"
371,"['C1-3', 'V1-3', 'C2-2']"
372,"['C1-3', 'V1-3', 'C2-3']"
373,"['C1-3', 'C2-0', 'C1-0']"
374,"['C1-3', 'C2-0', 'C1-1']"
375,"['C1-3', 'C2-0', 'C1-2']"
376,"['C1-3', 'C2-0', 'V1-0']"
377,"['C1-3', 'C2-0', 'V1-1']"
378,"['C1-3', 'C2-0', 'V1-2']"
379,"['C1-3', 'C2-0', 'V1-3']"
380,"['C1-3', 'C2-0', 'C2-1']"
381,"['C1-3', 'C2-0', 'C2-2']"
382,"['C1-3', 'C2-0', 'C2-3']"
383,"['C1-3', 'C2-1', 'C1-0']"
384,"['C1-3', 'C2-1', 'C1-1']"
385,"['C1-3', 'C2-1', 'C1-2']"
386,"['C1-3', 'C2-1', 'V1-0']"
387,"['C1-3', 'C2-1', 'V1-1']"
388,"['C1-3', 'C2-1', 'V1-2']"
389,"['C1-3', 'C2-1', 'V1-3']"
390,"['C1-3', 'C2-1', 'C2-0']"
391,"['C1-3', 'C2-1', 'C2-2']"
392,"['C1-3', 'C2-1', 'C2-3']"
393,"['C1-3', 'C2-2', 'C1-0']"
394,"['C1-3', 'C2-2', 'C1-1']"
395,"['C1-3', 'C2-2', 'C1-2']"
396,"['C1-3', 'C2-2', 'V1-0']"
397,"['C1-3', 'C2-2', 'V1-1']"
398,"['C1-3', 'C2-2', 'V1-2']"
399,"['C1-3', 'C2-2', 'V1-3']"
400,"['C1-3', 'C2-2', 'C2-0']"
401,"['C1-3', 'C2-2', 'C2-1']"
402,"['C1-3', 'C2-2', 'C2-3']"
403,"['C1-3', 'C2-3', 'C1-0']"
404,"['C1-3', 'C2-3', 'C1-1']"
405,"['C1-3', 'C2-3', 'C1-2']"
406,"['C1-3', 'C2-3', 'V1-0']"
407,"['C1-3', 'C2-3', 'V1-1']"
408,"['C1-3', 'C2-3', 'V1-2']"
409,"['C1-3', 'C2-3', 'V1-3']"
410,"['C1-3', 'C2-3', 'C2-0']"
411,"['C1-3', 'C2-3', 'C2-1']"
412,"['C1-3', 'C2-3', 'C2-2']"
413,"['V1-0', 'C1-0', 'C1-1']"
414,"['V1-0', 'C1-0', 'C1-2']"
415,"['V1-0', 'C1-0', 'C1-3']"
416,"['V1-0', 'C1-0', 'V1-1']"
417,"['V1-0', 'C1-0', 'V1-2']"
418,"['V1-0', 'C1-0', 'V1-3']"
419,"['V1-0', 'C1-0', 'C2-0']"
420,"['V1-0', 'C1-0', 'C2-1']"
421,"['V1-0', 'C1-0', 'C2-2']"
422,"['V1-0', 'C1-0', 'C2-3']"
423,"['V1-0', 'C1-1', 'C1-0']"
424,"['V1-0', 'C1-1', 'C1-2']"
425,"['V1-0', 'C1-1', 'C1-3']"
426,"['V1-0', 'C1-1', 'V1-1']"
427,"['V1-0', 'C1-1', 'V1-2']"
428,"['V1-0', 'C1-1', 'V1-3']"
429,"['V1-0', 'C1-1', 'C2-0']"
430,"['V1-0', 'C1-1', 'C2-1']"
431,"['V1-0', 'C1-1', 'C2-2']"
432,"['V1-0', 'C1-1', 'C2-3']"
433,"['V1-0', 'C1-2', 'C1-0']"
434,"['V1-0', 'C1-2', 'C1-1']"
435,"['V1-0', 'C1-2', 'C1-3']"
436,"['V1-0', 'C1-2', 'V1-1']"
437,"['V1-0', 'C1-2', 'V1-2']"
438,"['V1-0', 'C1-2', 'V1-3']"
439,"['V1-0', 'C1-2', 'C2-0']"
440,"['V1-0', 'C1-2', 'C2-1']"
441,"['V1-0', 'C1-2', 'C2-2']"
442,"['V1-0', 'C1-2', 'C2-3']"
443,"['V1-0', 'C1-3', 'C1-0']"
444,"['V1-0', 'C1-3', 'C1-1']"
445,"['V1-0', 'C1-3', 'C1-2']"
446,"['V1-0', 'C1-3', 'V1-1']"
447,"['V1-0', 'C1-3', 'V1-2']"
448,"['V1-0', 'C1-3', 'V1-3']"
449,"['V1-0', 'C1-3', 'C2-0']"
450,"['V1-0', 'C1-3', 'C2-1']"
451,"['V1-0', 'C1-3', 'C2-2']"
452,"['V1-0', 'C1-3', 'C2-3']"
453,"['V1-0', 'V1-1', 'C1-0']"
454,"['V1-0', 'V1-1', 'C1-1']"
455,"['V1-0', 'V1-1', 'C1-2']"
456,"['V1-0', 'V1-1', 'C1-3']"
457,"['V1-0', 'V1-1', 'V1-2']"
458,"['V1-0', 'V1-1', 'V1-3']"
459,"['V1-0', 'V1-1', 'C2-0']"
460,"['V1-0', 'V1-1', 'C2-1']"
461,"['V1-0', 'V1-1', 'C2-2']"
462,"['V1-0', 'V1-1', 'C2-3']"
463,"['V1-0', 'V1-2', 'C1-0']"
464,"['V1-0', 'V1-2', 'C1-1']"
465,"['V1-0', 'V1-2', 'C1-2']"
466,"['V1-0', 'V1-2', 'C1-3']"
467,"['V1-0', 'V1-2', 'V1-1']"
468,"['V1-0', 'V1-2', 'V1-3']"
469,"['V1-0', 'V1-2', 'C2-0']"
470,"['V1-0', 'V1-2', 'C2-1']"
471,"['V1-0', 'V1-2', 'C2-2']"
472,"['V1-0', 'V1-2', 'C2-3']"
473,"['V1-0', 'V1-3', 'C1-0']"
474,"['V1-0', 'V1-3', 'C1-1']"
475,"['V1-0', 'V1-3', 'C1-2']"
476,"['V1-0', 'V1-3', 'C1-3']"
477,"['V1-0', 'V1-3', 'V1-1']"
478,"['V1-0', 'V1-3', 'V1-2']"
479,"['V1-0', 'V1-3', 'C2-0']"
480,"['V1-0', 'V1-3', 'C2-1']"
481,"['V1-0', 'V1-3', 'C2-2']"
482,"['V1-0', 'V1-3', 'C2-3']"
483,"['V1-0', 'C2-0', 'C1-0']"
484,"['V1-0', 'C2-0', 'C1-1']"
485,"['V1-0', 'C2-0', 'C1-2']"
486,"['V1-0', 'C2-0', 'C1-3']"
487,"['V1-0', 'C2-0', 'V1-1']"
488,"['V1-0', 'C2-0', 'V1-2']"
489,"['V1-0', 'C2-0', 'V1-3']"
490,"['V1-0', 'C2-0', 'C2-1']"
491,"['V1-0', 'C2-0', 'C2-2']"
492,"['V1-0', 'C2-0', 'C2-3']"
493,"['V1-0', 'C2-1', 'C1-0']"
494,"['V1-0', 'C2-1', 'C1-1']"
495,"['V1-0', 'C2-1', 'C1-2']"
496,"['V1-0', 'C2-1', 'C1-3']"
497,"['V1-0', 'C2-1', 'V1-1']"
498,"['V1-0', 'C2-1', 'V1-2']"
499,"['V1-0', 'C2-1', 'V1-3']"
500,"['V1-0', 'C2-1', 'C2-0']"
501,"['V1-0', 'C2-1', 'C2-2']"
502,"['V1-0', 'C2-1', 'C2-3']"
503,"['V1-0', 'C2-2', 'C1-0']"
504,"['V1-0', 'C2-2', 'C1-1']"
505,"['V1-0', 'C2-2', 'C1-2']"
506,"['V1-0', 'C2-2', 'C1-3']"
507,"['V1-0', 'C2-2', 'V1-1']"
508,"['V1-0', 'C2-2', 'V1-2']"
509,"['V1-0', 'C2-2', 'V1-3']"
510,"['V1-0', 'C2-2', 'C2-0']"
511,"['V1-0', 'C2-2', 'C2-1']"
512,"['V1-0', 'C2-2', 'C2-3']"
513,"['V1-0', 'C2-3', 'C1-0']"
514,"['V1-0', 'C2-3', 'C1-1']"
515,"['V1-0', 'C2-3', 'C1-2']"
516,"['V1-0', 'C2-3', 'C1-3']"
517,"['V1-0', 'C2-3', 'V1-1']"
518,"['V1-0', 'C2-3', 'V1-2']"
519,"['V1-0', 'C2-3', 'V1-3']"
520,"['V1-0', 'C2-3', 'C2-0']"
521,"['V1-0', 'C2-3', 'C2-1']"
522,"['V1-0', 'C2-3', 'C2-2']"
523,"['V1-1', 'C1-0', 'C1-1']"
524,"['V1-1', 'C1-0', 'C1-2']"
525,"['V1-1', 'C1-0', 'C1-3']"
526,"['V1-1', 'C1-0', 'V1-0']"
527,"['V1-1', 'C1-0', 'V1-2']"
528,"['V1-1', 'C1-0', 'V1-3']"
529,"['V1-1', 'C1-0', 'C2-0']"
530,"['V1-1', 'C1-0', 'C2-1']"
531,"['V1-1', 'C1-0', 'C2-2']"
532,"['V1-1', 'C1-0', 'C2-3']"
533,"['V1-1', 'C1-1', 'C1-0']"
534,"['V1-1', 'C1-1', 'C1-2']"
535,"['V1-1', 'C1-1', 'C1-3']"
536,"['V1-1', 'C1-1', 'V1-0']"
537,"['V1-1', 'C1-1', 'V1-2']"
538,"['V1-1', 'C1-1', 'V1-3']"
539,"['V1-1', 'C1-1', 'C2-0']"
540,"['V1-1', 'C1-1', 'C2-1']"
541,"['V1-1', 'C1-1', 'C2-2']"
542,"['V1-1', 'C1-1', 'C2-3']"
543,"['V1-1', 'C1-2', 'C1-0']"
544,"['V1-1', 'C1-2', 'C1-1']"
545,"['V1-1', 'C1-2', 'C1-3']"
546,"['V1-1', 'C1-2', 'V1-0']"
547,"['V1-1', 'C1-2', 'V1-2']"
548,"['V1-1', 'C1-2', 'V1-3']"
549,"['V1-1', 'C1-2', 'C2-0']"
550,"['V1-1', 'C1-2', 'C2-1']"
551,"['V1-1', 'C1-2', 'C2-2']"
552,"['V1-1', 'C1-2', 'C2-3']"
553,"['V1-1', 'C1-3', 'C1-0']"
554,"['V1-1', 'C1-3', 'C1-1']"
555,"['V1-1', 'C1-3', 'C1-2']"
556,"['V1-1', 'C1-3', 'V1-0']"
557,"['V1-1', 'C1-3', 'V1-2']"
558,"['V1-1', 'C1-3', 'V1-3']"
