sentence_id	structure	needed_roles	sentence_lst	sentence_str	role_to_filler	filler_to_role	probability	verb
ditransitive_mailed_0b94fcf1-47e6-4799-89ee-e6a574823b05	ditransitive	['subject', 'verb', 'indirect_object', 'direct_object']	['woman', 'mailed', 'girl', 'package']	woman mailed girl package	{'subject': 'woman', 'verb': 'mailed', 'indirect_object': 'girl', 'direct_object': 'package'}	{'woman': 'subject', 'mailed': 'verb', 'girl': 'indirect_object', 'package': 'direct_object'}	0.0062499999999999995	mailed
ditransitive_mailed_469dca30-ca68-46eb-ba3b-88a700ebd3e2	ditransitive	['subject', 'verb', 'indirect_object', 'direct_object']	['woman', 'mailed', 'girl', 'gift']	woman mailed girl gift	{'subject': 'woman', 'verb': 'mailed', 'indirect_object': 'girl', 'direct_object': 'gift'}	{'woman': 'subject', 'mailed': 'verb', 'girl': 'indirect_object', 'gift': 'direct_object'}	0.0062499999999999995	mailed
ditransitive_lent_bc69f789-126f-4658-94df-cb1cb756fff8	ditransitive	['subject', 'verb', 'indirect_object', 'direct_object']	['man', 'lent', 'man', 'coffee']	man lent man coffee	{'subject': 'man', 'verb': 'lent', 'indirect_object': 'man', 'direct_object': 'coffee'}	{'man': 'indirect_object', 'lent': 'verb', 'coffee': 'direct_object'}	0.0046875	lent
ditransitive_lent_9d32c177-c509-4c64-92d3-146833043ea9	ditransitive	['subject', 'verb', 'indirect_object', 'direct_object']	['man', 'lent', 'man', 'tea']	man lent man tea	{'subject': 'man', 'verb': 'lent', 'indirect_object': 'man', 'direct_object': 'tea'}	{'man': 'indirect_object', 'lent': 'verb', 'tea': 'direct_object'}	0.0046875	lent
ditransitive_lent_fa826925-847a-4203-906a-cf590b2510da	ditransitive	['subject', 'verb', 'indirect_object', 'direct_object']	['man', 'lent', 'man', 'sugar']	man lent man sugar	{'subject': 'man', 'verb': 'lent', 'indirect_object': 'man', 'direct_object': 'sugar'}	{'man': 'indirect_object', 'lent': 'verb', 'sugar': 'direct_object'}	0.0046875	lent
ditransitive_lent_10ed6391-23d7-4683-9425-3d36d019d4b7	ditransitive	['subject', 'verb', 'indirect_object', 'direct_object']	['man', 'lent', 'man', 'book']	man lent man book	{'subject': 'man', 'verb': 'lent', 'indirect_object': 'man', 'direct_object': 'book'}	{'man': 'indirect_object', 'lent': 'verb', 'book': 'direct_object'}	0.0046875	lent
ditransitive_lent_2ba1cb77-fec1-45ea-adc9-7d32fd4efd30	ditransitive	['subject', 'verb', 'indirect_object', 'direct_object']	['man', 'lent', 'woman', 'coffee']	man lent woman coffee	{'subject': 'man', 'verb': 'lent', 'indirect_object': 'woman', 'direct_object': 'coffee'}	{'man': 'subject', 'lent': 'verb', 'woman': 'indirect_object', 'coffee': 'direct_object'}	0.0046875	lent
ditransitive_lent_81ecba53-b048-42cb-b392-10b24eeb95fc	ditransitive	['subject', 'verb', 'indirect_object', 'direct_object']	['man', 'lent', 'woman', 'tea']	man lent woman tea	{'subject': 'man', 'verb': 'lent', 'indirect_object': 'woman', 'direct_object': 'tea'}	{'man': 'subject', 'lent': 'verb', 'woman': 'indirect_object', 'tea': 'direct_object'}	0.0046875	lent
ditransitive_lent_a6ff0a36-9acc-41e1-b491-e405558d378e	ditransitive	['subject', 'verb', 'indirect_object', 'direct_object']	['man', 'lent', 'woman', 'sugar']	man lent woman sugar	{'subject': 'man', 'verb': 'lent', 'indirect_object': 'woman', 'direct_object': 'sugar'}	{'man': 'subject', 'lent': 'verb', 'woman': 'indirect_object', 'sugar': 'direct_object'}	0.0046875	lent
ditransitive_lent_15d3c12f-b430-4c79-a177-492fdd873bdb	ditransitive	['subject', 'verb', 'indirect_object', 'direct_object']	['man', 'lent', 'woman', 'book']	man lent woman book	{'subject': 'man', 'verb': 'lent', 'indirect_object': 'woman', 'direct_object': 'book'}	{'man': 'subject', 'lent': 'verb', 'woman': 'indirect_object', 'book': 'direct_object'}	0.0046875	lent
ditransitive_lent_97366d26-1383-4b0c-8809-deea777975e2	ditransitive	['subject', 'verb', 'indirect_object', 'direct_object']	['woman', 'lent', 'man', 'coffee']	woman lent man coffee	{'subject': 'woman', 'verb': 'lent', 'indirect_object': 'man', 'direct_object': 'coffee'}	{'woman': 'subject', 'lent': 'verb', 'man': 'indirect_object', 'coffee': 'direct_object'}	0.0046875	lent
ditransitive_lent_c38d720d-b271-43f1-948b-18415783eef9	ditransitive	['subject', 'verb', 'indirect_object', 'direct_object']	['woman', 'lent', 'man', 'tea']	woman lent man tea	{'subject': 'woman', 'verb': 'lent', 'indirect_object': 'man', 'direct_object': 'tea'}	{'woman': 'subject', 'lent': 'verb', 'man': 'indirect_object', 'tea': 'direct_object'}	0.0046875	lent
ditransitive_lent_4d6602c3-e406-46b3-a6de-1a5b34da11c3	ditransitive	['subject', 'verb', 'indirect_object', 'direct_object']	['woman', 'lent', 'man', 'sugar']	woman lent man sugar	{'subject': 'woman', 'verb': 'lent', 'indirect_object': 'man', 'direct_object': 'sugar'}	{'woman': 'subject', 'lent': 'verb', 'man': 'indirect_object', 'sugar': 'direct_object'}	0.0046875	lent
ditransitive_lent_d42e6894-b572-419a-ac97-beb5d28a7638	ditransitive	['subject', 'verb', 'indirect_object', 'direct_object']	['woman', 'lent', 'man', 'book']	woman lent man book	{'subject': 'woman', 'verb': 'lent', 'indirect_object': 'man', 'direct_object': 'book'}	{'woman': 'subject', 'lent': 'verb', 'man': 'indirect_object', 'book': 'direct_object'}	0.0046875	lent
ditransitive_lent_64f05f1e-1908-4113-8c58-456a2d4e9b3c	ditransitive	['subject', 'verb', 'indirect_object', 'direct_object']	['woman', 'lent', 'woman', 'coffee']	woman lent woman coffee	{'subject': 'woman', 'verb': 'lent', 'indirect_object': 'woman', 'direct_object': 'coffee'}	{'woman': 'indirect_object', 'lent': 'verb', 'coffee': 'direct_object'}	0.0046875	lent
ditransitive_lent_dcbfd6f7-11a3-4dce-84ce-1b12e037baa8	ditransitive	['subject', 'verb', 'indirect_object', 'direct_object']	['woman', 'lent', 'woman', 'tea']	woman lent woman tea	{'subject': 'woman', 'verb': 'lent', 'indirect_object': 'woman', 'direct_object': 'tea'}	{'woman': 'indirect_object', 'lent': 'verb', 'tea': 'direct_object'}	0.0046875	lent
ditransitive_lent_e1f0f5ff-ae87-4d8b-b4a9-3190ef2bd1e1	ditransitive	['subject', 'verb', 'indirect_object', 'direct_object']	['woman', 'lent', 'woman', 'sugar']	woman lent woman sugar	{'subject': 'woman', 'verb': 'lent', 'indirect_object': 'woman', 'direct_object': 'sugar'}	{'woman': 'indirect_object', 'lent': 'verb', 'sugar': 'direct_object'}	0.0046875	lent
ditransitive_lent_649e97ea-9865-4dcb-8336-3f4be893e4b9	ditransitive	['subject', 'verb', 'indirect_object', 'direct_object']	['woman', 'lent', 'woman', 'book']	woman lent woman book	{'subject': 'woman', 'verb': 'lent', 'indirect_object': 'woman', 'direct_object': 'book'}	{'woman': 'indirect_object', 'lent': 'verb', 'book': 'direct_object'}	0.0046875	lent
ditransitive_gave_b4b7a685-d8d3-4593-82ab-0b20467ea2ea	ditransitive	['subject', 'verb', 'indirect_object', 'direct_object']	['man', 'gave', 'man', 'eggs']	man gave man eggs	{'subject': 'man', 'verb': 'gave', 'indirect_object': 'man', 'direct_object': 'eggs'}	{'man': 'indirect_object', 'gave': 'verb', 'eggs': 'direct_object'}	0.0004261363636363636	gave
ditransitive_gave_c071bfa3-e586-4569-8992-90384f440b98	ditransitive	['subject', 'verb', 'indirect_object', 'direct_object']	['man', 'gave', 'man', 'toast']	man gave man toast	{'subject': 'man', 'verb': 'gave', 'indirect_object': 'man', 'direct_object': 'toast'}	{'man': 'indirect_object', 'gave': 'verb', 'toast': 'direct_object'}	0.0004261363636363636	gave
ditransitive_gave_ecf6fa7f-459f-451f-baea-bbf7449bd586	ditransitive	['subject', 'verb', 'indirect_object', 'direct_object']	['man', 'gave', 'man', 'pizza']	man gave man pizza	{'subject': 'man', 'verb': 'gave', 'indirect_object': 'man', 'direct_object': 'pizza'}	{'man': 'indirect_object', 'gave': 'verb', 'pizza': 'direct_object'}	0.0004261363636363636	gave
ditransitive_gave_12fa1bf0-0032-45ab-b0ed-aa0ccddf6d65	ditransitive	['subject', 'verb', 'indirect_object', 'direct_object']	['man', 'gave', 'man', 'coffee']	man gave man coffee	{'subject': 'man', 'verb': 'gave', 'indirect_object': 'man', 'direct_object': 'coffee'}	{'man': 'indirect_object', 'gave': 'verb', 'coffee': 'direct_object'}	0.0004261363636363636	gave
ditransitive_gave_e75d31c7-6ca6-4011-88b2-23797b61ac2a	ditransitive	['subject', 'verb', 'indirect_object', 'direct_object']	['man', 'gave', 'man', 'tea']	man gave man tea	{'subject': 'man', 'verb': 'gave', 'indirect_object': 'man', 'direct_object': 'tea'}	{'man': 'indirect_object', 'gave': 'verb', 'tea': 'direct_object'}	0.0004261363636363636	gave
ditransitive_gave_de4b5003-75c5-4285-a1f8-1ba528c9e9bf	ditransitive	['subject', 'verb', 'indirect_object', 'direct_object']	['man', 'gave', 'man', 'soup']	man gave man soup	{'subject': 'man', 'verb': 'gave', 'indirect_object': 'man', 'direct_object': 'soup'}	{'man': 'indirect_object', 'gave': 'verb', 'soup': 'direct_object'}	0.0004261363636363636	gave
ditransitive_gave_f18ee2fd-5103-4819-bb5c-333a7bfab241	ditransitive	['subject', 'verb', 'indirect_object', 'direct_object']	['man', 'gave', 'man', 'sugar']	man gave man sugar	{'subject': 'man', 'verb': 'gave', 'indirect_object': 'man', 'direct_object': 'sugar'}	{'man': 'indirect_object', 'gave': 'verb', 'sugar': 'direct_object'}	0.0004261363636363636	gave
ditransitive_gave_6e4b4267-dbd1-45eb-b239-9e73ecc5abcc	ditransitive	['subject', 'verb', 'indirect_object', 'direct_object']	['man', 'gave', 'man', 'book']	man gave man book	{'subject': 'man', 'verb': 'gave', 'indirect_object': 'man', 'direct_object': 'book'}	{'man': 'indirect_object', 'gave': 'verb', 'book': 'direct_object'}	0.0004261363636363636	gave
ditransitive_gave_fc53a224-2f6a-4471-a41d-58bbe8475089	ditransitive	['subject', 'verb', 'indirect_object', 'direct_object']	['man', 'gave', 'man', 'letter']	man gave man letter	{'subject': 'man', 'verb': 'gave', 'indirect_object': 'man', 'direct_object': 'letter'}	{'man': 'indirect_object', 'gave': 'verb', 'letter': 'direct_object'}	0.0004261363636363636	gave
ditransitive_gave_4eb5dff7-ad6b-45ef-be7f-f643d94bc4cc	ditransitive	['subject', 'verb', 'indirect_object', 'direct_object']	['man', 'gave', 'man', 'package']	man gave man package	{'subject': 'man', 'verb': 'gave', 'indirect_object': 'man', 'direct_object': 'package'}	{'man': 'indirect_object', 'gave': 'verb', 'package': 'direct_object'}	0.0004261363636363636	gave
ditransitive_gave_b9217b95-c0d1-4047-81e2-d5527a4c898d	ditransitive	['subject', 'verb', 'indirect_object', 'direct_object']	['man', 'gave', 'man', 'gift']	man gave man gift	{'subject': 'man', 'verb': 'gave', 'indirect_object': 'man', 'direct_object': 'gift'}	{'man': 'indirect_object', 'gave': 'verb', 'gift': 'direct_object'}	0.0004261363636363636	gave
ditransitive_gave_b69d0de7-a027-4de8-ab25-1f5463eb21f8	ditransitive	['subject', 'verb', 'indirect_object', 'direct_object']	['man', 'gave', 'woman', 'eggs']	man gave woman eggs	{'subject': 'man', 'verb': 'gave', 'indirect_object': 'woman', 'direct_object': 'eggs'}	{'man': 'subject', 'gave': 'verb', 'woman': 'indirect_object', 'eggs': 'direct_object'}	0.0004261363636363636	gave
ditransitive_gave_21fca8eb-aecf-4267-a8a1-2d732a99059e	ditransitive	['subject', 'verb', 'indirect_object', 'direct_object']	['man', 'gave', 'woman', 'toast']	man gave woman toast	{'subject': 'man', 'verb': 'gave', 'indirect_object': 'woman', 'direct_object': 'toast'}	{'man': 'subject', 'gave': 'verb', 'woman': 'indirect_object', 'toast': 'direct_object'}	0.0004261363636363636	gave
ditransitive_gave_a3e2f823-4297-4477-8178-5176870c66b0	ditransitive	['subject', 'verb', 'indirect_object', 'direct_object']	['man', 'gave', 'woman', 'pizza']	man gave woman pizza	{'subject': 'man', 'verb': 'gave', 'indirect_object': 'woman', 'direct_object': 'pizza'}	{'man': 'subject', 'gave': 'verb', 'woman': 'indirect_object', 'pizza': 'direct_object'}	0.0004261363636363636	gave
ditransitive_gave_62c813a3-c8a1-4f2f-b855-832fbb6e2639	ditransitive	['subject', 'verb', 'indirect_object', 'direct_object']	['man', 'gave', 'woman', 'coffee']	man gave woman coffee	{'subject': 'man', 'verb': 'gave', 'indirect_object': 'woman', 'direct_object': 'coffee'}	{'man': 'subject', 'gave': 'verb', 'woman': 'indirect_object', 'coffee': 'direct_object'}	0.0004261363636363636	gave
ditransitive_gave_5a5a253e-9f5b-469f-a0f9-77c3ef2800a0	ditransitive	['subject', 'verb', 'indirect_object', 'direct_object']	['man', 'gave', 'woman', 'tea']	man gave woman tea	{'subject': 'man', 'verb': 'gave', 'indirect_object': 'woman', 'direct_object': 'tea'}	{'man': 'subject', 'gave': 'verb', 'woman': 'indirect_object', 'tea': 'direct_object'}	0.0004261363636363636	gave
ditransitive_gave_0e71977b-5e25-49e1-a96a-5b7d303e75e8	ditransitive	['subject', 'verb', 'indirect_object', 'direct_object']	['man', 'gave', 'woman', 'soup']	man gave woman soup	{'subject': 'man', 'verb': 'gave', 'indirect_object': 'woman', 'direct_object': 'soup'}	{'man': 'subject', 'gave': 'verb', 'woman': 'indirect_object', 'soup': 'direct_object'}	0.0004261363636363636	gave
ditransitive_gave_eaebf230-3022-45da-b76f-d235093424d6	ditransitive	['subject', 'verb', 'indirect_object', 'direct_object']	['man', 'gave', 'woman', 'sugar']	man gave woman sugar	{'subject': 'man', 'verb': 'gave', 'indirect_object': 'woman', 'direct_object': 'sugar'}	{'man': 'subject', 'gave': 'verb', 'woman': 'indirect_object', 'sugar': 'direct_object'}	0.0004261363636363636	gave
ditransitive_gave_6e9f28e8-bd0e-4422-bf6e-594a6143ddd2	ditransitive	['subject', 'verb', 'indirect_object', 'direct_object']	['man', 'gave', 'woman', 'book']	man gave woman book	{'subject': 'man', 'verb': 'gave', 'indirect_object': 'woman', 'direct_object': 'book'}	{'man': 'subject', 'gave': 'verb', 'woman': 'indirect_object', 'book': 'direct_object'}	0.0004261363636363636	gave
ditransitive_gave_fe62f28b-27e0-4152-b23d-db49c5a9965f	ditransitive	['subject', 'verb', 'indirect_object', 'direct_object']	['man', 'gave', 'woman', 'letter']	man gave woman letter	{'subject': 'man', 'verb': 'gave', 'indirect_object': 'woman', 'direct_object': 'letter'}	{'man': 'subject', 'gave': 'verb', 'woman': 'indirect_object', 'letter': 'direct_object'}	0.0004261363636363636	gave
ditransitive_gave_fb33a893-f8ea-4257-a069-aa1688ab96ee	ditransitive	['subject', 'verb', 'indirect_object', 'direct_object']	['man', 'gave', 'woman', 'package']	man gave woman package	{'subject': 'man', 'verb': 'gave', 'indirect_object': 'woman', 'direct_object': 'package'}	{'man': 'subject', 'gave': 'verb', 'woman': 'indirect_object', 'package': 'direct_object'}	0.0004261363636363636	gave
ditransitive_gave_f99c4725-acc9-493c-89ed-de0eb78737c1	ditransitive	['subject', 'verb', 'indirect_object', 'direct_object']	['man', 'gave', 'woman', 'gift']	man gave woman gift	{'subject': 'man', 'verb': 'gave', 'indirect_object': 'woman', 'direct_object': 'gift'}	{'man': 'subject', 'gave': 'verb', 'woman': 'indirect_object', 'gift': 'direct_object'}	0.0004261363636363636	gave
ditransitive_gave_2bb68d72-edc8-406f-9e97-e9fbac85853a	ditransitive	['subject', 'verb', 'indirect_object', 'direct_object']	['man', 'gave', 'boy', 'eggs']	man gave boy eggs	{'subject': 'man', 'verb': 'gave', 'indirect_object': 'boy', 'direct_object': 'eggs'}	{'man': 'subject', 'gave': 'verb', 'boy': 'indirect_object', 'eggs': 'direct_object'}	0.0004261363636363636	gave
ditransitive_gave_07472115-8689-486b-b183-eea1fd618fb8	ditransitive	['subject', 'verb', 'indirect_object', 'direct_object']	['man', 'gave', 'boy', 'toast']	man gave boy toast	{'subject': 'man', 'verb': 'gave', 'indirect_object': 'boy', 'direct_object': 'toast'}	{'man': 'subject', 'gave': 'verb', 'boy': 'indirect_object', 'toast': 'direct_object'}	0.0004261363636363636	gave
ditransitive_gave_593decda-b601-4fe1-8f2b-5e5ff5522b48	ditransitive	['subject', 'verb', 'indirect_object', 'direct_object']	['man', 'gave', 'boy', 'pizza']	man gave boy pizza	{'subject': 'man', 'verb': 'gave', 'indirect_object': 'boy', 'direct_object': 'pizza'}	{'man': 'subject', 'gave': 'verb', 'boy': 'indirect_object', 'pizza': 'direct_object'}	0.0004261363636363636	gave
ditransitive_gave_f50885a1-3ea9-4b97-ad94-28852605fdb3	ditransitive	['subject', 'verb', 'indirect_object', 'direct_object']	['man', 'gave', 'boy', 'coffee']	man gave boy coffee	{'subject': 'man', 'verb': 'gave', 'indirect_object': 'boy', 'direct_object': 'coffee'}	{'man': 'subject', 'gave': 'verb', 'boy': 'indirect_object', 'coffee': 'direct_object'}	0.0004261363636363636	gave
ditransitive_gave_7e2105d0-8a10-4656-a396-88d1f94f58a2	ditransitive	['subject', 'verb', 'indirect_object', 'direct_object']	['man', 'gave', 'boy', 'tea']	man gave boy tea	{'subject': 'man', 'verb': 'gave', 'indirect_object': 'boy', 'direct_object': 'tea'}	{'man': 'subject', 'gave': 'verb', 'boy': 'indirect_object', 'tea': 'direct_object'}	0.0004261363636363636	gave
ditransitive_gave_5b52816b-e0f8-46c1-aab3-64686e72e51a	ditransitive	['subject', 'verb', 'indirect_object', 'direct_object']	['man', 'gave', 'boy', 'soup']	man gave boy soup	{'subject': 'man', 'verb': 'gave', 'indirect_object': 'boy', 'direct_object': 'soup'}	{'man': 'subject', 'gave': 'verb', 'boy': 'indirect_object', 'soup': 'direct_object'}	0.0004261363636363636	gave
ditransitive_gave_9b8c195b-85a9-406c-8348-87d5d729e6cf	ditransitive	['subject', 'verb', 'indirect_object', 'direct_object']	['man', 'gave', 'boy', 'sugar']	man gave boy sugar	{'subject': 'man', 'verb': 'gave', 'indirect_object': 'boy', 'direct_object': 'sugar'}	{'man': 'subject', 'gave': 'verb', 'boy': 'indirect_object', 'sugar': 'direct_object'}	0.0004261363636363636	gave
ditransitive_gave_1e9a0164-bcef-4d03-ada3-d1aa7a434219	ditransitive	['subject', 'verb', 'indirect_object', 'direct_object']	['man', 'gave', 'boy', 'book']	man gave boy book	{'subject': 'man', 'verb': 'gave', 'indirect_object': 'boy', 'direct_object': 'book'}	{'man': 'subject', 'gave': 'verb', 'boy': 'indirect_object', 'book': 'direct_object'}	0.0004261363636363636	gave
ditransitive_gave_abf7a511-f637-4e24-b73c-2d9035fc272d	ditransitive	['subject', 'verb', 'indirect_object', 'direct_object']	['man', 'gave', 'boy', 'letter']	man gave boy letter	{'subject': 'man', 'verb': 'gave', 'indirect_object': 'boy', 'direct_object': 'letter'}	{'man': 'subject', 'gave': 'verb', 'boy': 'indirect_object', 'letter': 'direct_object'}	0.0004261363636363636	gave
ditransitive_gave_5fb07c97-62f0-4bac-b096-a106b5dc6d0a	ditransitive	['subject', 'verb', 'indirect_object', 'direct_object']	['man', 'gave', 'boy', 'package']	man gave boy package	{'subject': 'man', 'verb': 'gave', 'indirect_object': 'boy', 'direct_object': 'package'}	{'man': 'subject', 'gave': 'verb', 'boy': 'indirect_object', 'package': 'direct_object'}	0.0004261363636363636	gave
ditransitive_gave_3199ce87-beb3-4fc9-89cb-f3b5ac4c4be3	ditransitive	['subject', 'verb', 'indirect_object', 'direct_object']	['man', 'gave', 'boy', 'gift']	man gave boy gift	{'subject': 'man', 'verb': 'gave', 'indirect_object': 'boy', 'direct_object': 'gift'}	{'man': 'subject', 'gave': 'verb', 'boy': 'indirect_object', 'gift': 'direct_object'}	0.0004261363636363636	gave
ditransitive_gave_2a9d7ef4-2856-47f2-8870-4322b39c7333	ditransitive	['subject', 'verb', 'indirect_object', 'direct_object']	['man', 'gave', 'girl', 'eggs']	man gave girl eggs	{'subject': 'man', 'verb': 'gave', 'indirect_object': 'girl', 'direct_object': 'eggs'}	{'man': 'subject', 'gave': 'verb', 'girl': 'indirect_object', 'eggs': 'direct_object'}	0.0004261363636363636	gave
ditransitive_gave_b88b8656-2273-4fe3-abf8-706f19a0beee	ditransitive	['subject', 'verb', 'indirect_object', 'direct_object']	['man', 'gave', 'girl', 'toast']	man gave girl toast	{'subject': 'man', 'verb': 'gave', 'indirect_object': 'girl', 'direct_object': 'toast'}	{'man': 'subject', 'gave': 'verb', 'girl': 'indirect_object', 'toast': 'direct_object'}	0.0004261363636363636	gave
ditransitive_gave_adac70d6-bb36-4431-bfd2-8ffc3dcef7c3	ditransitive	['subject', 'verb', 'indirect_object', 'direct_object']	['man', 'gave', 'girl', 'pizza']	man gave girl pizza	{'subject': 'man', 'verb': 'gave', 'indirect_object': 'girl', 'direct_object': 'pizza'}	{'man': 'subject', 'gave': 'verb', 'girl': 'indirect_object', 'pizza': 'direct_object'}	0.0004261363636363636	gave
ditransitive_gave_2f5c8e86-abe0-4fe1-af3c-92acf6e57a8f	ditransitive	['subject', 'verb', 'indirect_object', 'direct_object']	['man', 'gave', 'girl', 'coffee']	man gave girl coffee	{'subject': 'man', 'verb': 'gave', 'indirect_object': 'girl', 'direct_object': 'coffee'}	{'man': 'subject', 'gave': 'verb', 'girl': 'indirect_object', 'coffee': 'direct_object'}	0.0004261363636363636	gave
ditransitive_gave_5e7a1644-9d6d-47c5-b8c7-09796057e636	ditransitive	['subject', 'verb', 'indirect_object', 'direct_object']	['man', 'gave', 'girl', 'tea']	man gave girl tea	{'subject': 'man', 'verb': 'gave', 'indirect_object': 'girl', 'direct_object': 'tea'}	{'man': 'subject', 'gave': 'verb', 'girl': 'indirect_object', 'tea': 'direct_object'}	0.0004261363636363636	gave
ditransitive_gave_ff64d4f8-4169-4e19-bfaf-ab32b3f8ca50	ditransitive	['subject', 'verb', 'indirect_object', 'direct_object']	['man', 'gave', 'girl', 'soup']	man gave girl soup	{'subject': 'man', 'verb': 'gave', 'indirect_object': 'girl', 'direct_object': 'soup'}	{'man': 'subject', 'gave': 'verb', 'girl': 'indirect_object', 'soup': 'direct_object'}	0.0004261363636363636	gave
ditransitive_gave_650c874e-fe1a-4ab1-80ae-ea3d1cba179f	ditransitive	['subject', 'verb', 'indirect_object', 'direct_object']	['man', 'gave', 'girl', 'sugar']	man gave girl sugar	{'subject': 'man', 'verb': 'gave', 'indirect_object': 'girl', 'direct_object': 'sugar'}	{'man': 'subject', 'gave': 'verb', 'girl': 'indirect_object', 'sugar': 'direct_object'}	0.0004261363636363636	gave
ditransitive_gave_a0462b12-0f48-4e15-8187-c630dbda201c	ditransitive	['subject', 'verb', 'indirect_object', 'direct_object']	['man', 'gave', 'girl', 'book']	man gave girl book	{'subject': 'man', 'verb': 'gave', 'indirect_object': 'girl', 'direct_object': 'book'}	{'man': 'subject', 'gave': 'verb', 'girl': 'indirect_object', 'book': 'direct_object'}	0.0004261363636363636	gave
ditransitive_gave_0ba2c2ac-1cca-43b3-9b3b-cf039c74e199	ditransitive	['subject', 'verb', 'indirect_object', 'direct_object']	['man', 'gave', 'girl', 'letter']	man gave girl letter	{'subject': 'man', 'verb': 'gave', 'indirect_object': 'girl', 'direct_object': 'letter'}	{'man': 'subject', 'gave': 'verb', 'girl': 'indirect_object', 'letter': 'direct_object'}	0.0004261363636363636	gave
