utterance_lst	utterance_str
[1241, 513, 369, 622]	1241 513 369 622
[233, 1096, 822, 122]	233 1096 822 122
[1246, 672, 328, 792]	1246 672 328 792
[1227, 448, 18, 255]	1227 448 18 255
[75, 683, 402, 1101]	75 683 402 1101
[266, 19, 600, 159]	266 19 600 159
[401, 291, 230, 822]	401 291 230 822
[1210, 478, 825, 417]	1210 478 825 417
[1183, 714, 37, 959]	1183 714 37 959
[271, 60, 25, 1086]	271 60 25 1086
[917, 462, 720, 912]	917 462 720 912
[97, 912, 916, 1218]	97 912 916 1218
[76, 740, 657, 1094]	76 740 657 1094
[470, 856, 1159, 450]	470 856 1159 450
[666, 1155, 44, 1259]	666 1155 44 1259
[404, 591, 371, 1031]	404 591 371 1031
[688, 966, 134, 1138]	688 966 134 1138
[1061, 879, 288, 335]	1061 879 288 335
[584, 84, 1232, 527]	584 84 1232 527
[1232, 236, 837, 1032]	1232 236 837 1032
[833, 547, 24, 563]	833 547 24 563
[504, 1221, 1258, 1237]	504 1221 1258 1237
[1267, 218, 38, 377]	1267 218 38 377
[10, 153, 746, 259]	10 153 746 259
[789, 492, 354, 1253]	789 492 354 1253
[240, 1140, 681, 857]	240 1140 681 857
[186, 963, 1150, 256]	186 963 1150 256
[611, 844, 613, 972]	611 844 613 972
[833, 406, 880, 999]	833 406 880 999
[599, 763, 820, 616]	599 763 820 616
[114, 527, 1005, 936]	114 527 1005 936
[95, 618, 759, 689]	95 618 759 689
[193, 836, 901, 692]	193 836 901 692
[1214, 746, 15, 368]	1214 746 15 368
[907, 103, 1247, 903]	907 103 1247 903
[989, 219, 8, 1128]	989 219 8 1128
[660, 571, 670, 993]	660 571 670 993
[481, 999, 209, 1267]	481 999 209 1267
[899, 411, 616, 1139]	899 411 616 1139
[420, 903, 1175, 1242]	420 903 1175 1242
[330, 1027, 786, 1045]	330 1027 786 1045
[89, 534, 583, 1053]	89 534 583 1053
[584, 54, 270, 1075]	584 54 270 1075
[1141, 741, 103, 999]	1141 741 103 999
[1120, 371, 623, 375]	1120 371 623 375
[69, 948, 205, 112]	69 948 205 112
[1175, 124, 982, 1053]	1175 124 982 1053
[324, 481, 288, 915]	324 481 288 915
[1258, 961, 637, 694]	1258 961 637 694
[527, 923, 348, 317]	527 923 348 317
[900, 329, 1277, 940]	900 329 1277 940
[237, 27, 773, 173]	237 27 773 173
[646, 776, 1045, 501]	646 776 1045 501
[706, 1053, 174, 434]	706 1053 174 434
[1045, 463, 1202, 108]	1045 463 1202 108
[109, 469, 600, 475]	109 469 600 475
[285, 579, 1156, 1212]	285 579 1156 1212
[809, 331, 753, 203]	809 331 753 203
[81, 1027, 345, 207]	81 1027 345 207
[1060, 158, 305, 196]	1060 158 305 196
[1153, 881, 234, 93]	1153 881 234 93
[1172, 166, 924, 892]	1172 166 924 892
[760, 619, 537, 363]	760 619 537 363
[835, 194, 616, 336]	835 194 616 336
[475, 1151, 733, 834]	475 1151 733 834
[837, 1, 1012, 1131]	837 1 1012 1131
[964, 675, 1093, 1220]	964 675 1093 1220
[357, 212, 436, 23]	357 212 436 23
[304, 106, 11, 516]	304 106 11 516
[7, 621, 1099, 921]	7 621 1099 921
[67, 941, 245, 1041]	67 941 245 1041
[832, 703, 563, 1267]	832 703 563 1267
[271, 1161, 264, 121]	271 1161 264 121
[278, 48, 1074, 239]	278 48 1074 239
[741, 354, 463, 1016]	741 354 463 1016
[710, 345, 963, 185]	710 345 963 185
[52, 898, 1102, 989]	52 898 1102 989
[901, 1203, 1197, 733]	901 1203 1197 733
[229, 748, 552, 915]	229 748 552 915
[451, 93, 250, 184]	451 93 250 184
[947, 890, 689, 410]	947 890 689 410
[942, 578, 639, 254]	942 578 639 254
[1289, 572, 609, 268]	1289 572 609 268
[579, 608, 549, 962]	579 608 549 962
[433, 805, 866, 174]	433 805 866 174
[1064, 90, 333, 1074]	1064 90 333 1074
[154, 356, 533, 1222]	154 356 533 1222
[1252, 281, 828, 1072]	1252 281 828 1072
[664, 406, 196, 90]	664 406 196 90
[57, 61, 936, 764]	57 61 936 764
[86, 1210, 1274, 536]	86 1210 1274 536
[468, 1132, 860, 963]	468 1132 860 963
[235, 942, 572, 71]	235 942 572 71
[62, 341, 303, 347]	62 341 303 347
[1178, 513, 268, 135]	1178 513 268 135
[72, 524, 543, 102]	72 524 543 102
[667, 445, 24, 612]	667 445 24 612
[203, 233, 972, 554]	203 233 972 554
[461, 717, 948, 810]	461 717 948 810
[1227, 925, 441, 1232]	1227 925 441 1232
[20, 243, 157, 493]	20 243 157 493
[457, 503, 818, 449]	457 503 818 449
[624, 875, 1197, 1237]	624 875 1197 1237
[476, 497, 1281, 1085]	476 497 1281 1085
[1134, 148, 374, 548]	1134 148 374 548
[399, 599, 1220, 501]	399 599 1220 501
[654, 418, 761, 705]	654 418 761 705
[235, 76, 972, 1073]	235 76 972 1073
[437, 257, 131, 805]	437 257 131 805
[748, 1209, 876, 741]	748 1209 876 741
[768, 1175, 1190, 216]	768 1175 1190 216
[158, 165, 16, 1100]	158 165 16 1100
[1245, 647, 982, 856]	1245 647 982 856
[848, 507, 1237, 397]	848 507 1237 397
[129, 68, 1018, 1008]	129 68 1018 1008
[1102, 1033, 292, 469]	1102 1033 292 469
[362, 1117, 2, 394]	362 1117 2 394
[844, 823, 3, 145]	844 823 3 145
[218, 283, 661, 39]	218 283 661 39
[1069, 602, 843, 467]	1069 602 843 467
[1096, 134, 1120, 318]	1096 134 1120 318
[664, 727, 869, 701]	664 727 869 701
[930, 65, 691, 647]	930 65 691 647
[801, 138, 914, 105]	801 138 914 105
[60, 67, 1265, 209]	60 67 1265 209
[884, 72, 782, 281]	884 72 782 281
[774, 954, 874, 699]	774 954 874 699
[927, 2, 70, 306]	927 2 70 306
[584, 987, 34, 266]	584 987 34 266
[678, 419, 106, 366]	678 419 106 366
[33, 18, 1085, 408]	33 18 1085 408
[925, 318, 956, 1141]	925 318 956 1141
[22, 779, 1174, 994]	22 779 1174 994
[156, 944, 975, 207]	156 944 975 207
[850, 806, 257, 1060]	850 806 257 1060
[1108, 96, 609, 760]	1108 96 609 760
[10, 669, 1212, 430]	10 669 1212 430
[639, 1212, 1129, 1231]	639 1212 1129 1231
[117, 1292, 428, 465]	117 1292 428 465
[238, 1042, 761, 592]	238 1042 761 592
[640, 663, 753, 196]	640 663 753 196
[930, 339, 26, 1237]	930 339 26 1237
[126, 1036, 991, 553]	126 1036 991 553
[787, 312, 279, 1142]	787 312 279 1142
[969, 993, 592, 45]	969 993 592 45
[1000, 1240, 410, 808]	1000 1240 410 808
[190, 1243, 917, 81]	190 1243 917 81
[905, 874, 563, 756]	905 874 563 756
[1204, 881, 611, 1251]	1204 881 611 1251
[825, 1003, 718, 978]	825 1003 718 978
[1000, 645, 601, 256]	1000 645 601 256
[843, 940, 531, 85]	843 940 531 85
[912, 837, 837, 197]	912 837 837 197
[1145, 941, 1034, 191]	1145 941 1034 191
[350, 689, 7, 1258]	350 689 7 1258
[225, 195, 1028, 304]	225 195 1028 304
[743, 842, 262, 64]	743 842 262 64
[909, 1131, 1045, 133]	909 1131 1045 133
[432, 585, 42, 1143]	432 585 42 1143
[1070, 1253, 1183, 1082]	1070 1253 1183 1082
[384, 843, 1129, 10]	384 843 1129 10
[94, 1276, 117, 1174]	94 1276 117 1174
[491, 315, 486, 1140]	491 315 486 1140
[837, 160, 1062, 448]	837 160 1062 448
[1067, 648, 1113, 709]	1067 648 1113 709
[456, 1281, 1268, 707]	456 1281 1268 707
[675, 779, 873, 350]	675 779 873 350
[1203, 544, 1288, 741]	1203 544 1288 741
[1185, 1191, 355, 44]	1185 1191 355 44
[750, 742, 435, 457]	750 742 435 457
[354, 120, 593, 675]	354 120 593 675
[565, 1092, 563, 974]	565 1092 563 974
[975, 654, 601, 302]	975 654 601 302
[887, 1121, 1255, 1036]	887 1121 1255 1036
[1252, 754, 584, 1269]	1252 754 584 1269
[868, 91, 1104, 769]	868 91 1104 769
[1106, 525, 817, 771]	1106 525 817 771
[794, 1140, 510, 870]	794 1140 510 870
[1215, 114, 1107, 893]	1215 114 1107 893
[569, 49, 639, 213]	569 49 639 213
[251, 652, 810, 1205]	251 652 810 1205
[815, 992, 705, 32]	815 992 705 32
[426, 152, 782, 393]	426 152 782 393
[789, 435, 58, 293]	789 435 58 293
[1206, 581, 857, 698]	1206 581 857 698
[596, 883, 1170, 816]	596 883 1170 816
[1019, 451, 357, 13]	1019 451 357 13
[690, 80, 347, 597]	690 80 347 597
[482, 268, 543, 1187]	482 268 543 1187
[726, 856, 1291, 828]	726 856 1291 828
[1230, 899, 1046, 786]	1230 899 1046 786
[1291, 710, 435, 846]	1291 710 435 846
[120, 549, 1218, 187]	120 549 1218 187
[528, 392, 798, 1104]	528 392 798 1104
[415, 735, 40, 308]	415 735 40 308
[542, 827, 1136, 1147]	542 827 1136 1147
[658, 337, 1063, 1094]	658 337 1063 1094
[1024, 863, 815, 508]	1024 863 815 508
[738, 475, 910, 1135]	738 475 910 1135
[391, 950, 131, 114]	391 950 131 114
[244, 375, 561, 502]	244 375 561 502
[1171, 69, 1119, 310]	1171 69 1119 310
[389, 604, 575, 737]	389 604 575 737
[42, 768, 54, 210]	42 768 54 210
[364, 662, 942, 43]	364 662 942 43
[39, 532, 296, 925]	39 532 296 925
[1051, 1169, 1275, 1243]	1051 1169 1275 1243
[309, 732, 168, 703]	309 732 168 703
[905, 818, 1269, 485]	905 818 1269 485
[548, 1165, 1032, 239]	548 1165 1032 239
[510, 1001, 77, 1054]	510 1001 77 1054
[1156, 837, 153, 713]	1156 837 153 713
[199, 1149, 323, 65]	199 1149 323 65
[583, 306, 1115, 230]	583 306 1115 230
[154, 483, 569, 698]	154 483 569 698
[1243, 514, 1131, 169]	1243 514 1131 169
[622, 1151, 1080, 829]	622 1151 1080 829
[113, 1291, 465, 859]	113 1291 465 859
[128, 127, 535, 1022]	128 127 535 1022
[976, 499, 330, 744]	976 499 330 744
[574, 321, 164, 71]	574 321 164 71
[113, 1004, 1235, 1037]	113 1004 1235 1037
[866, 577, 356, 618]	866 577 356 618
[519, 1073, 1243, 520]	519 1073 1243 520
[356, 943, 1192, 1254]	356 943 1192 1254
[1266, 1027, 1072, 610]	1266 1027 1072 610
[897, 277, 1287, 304]	897 277 1287 304
[990, 1017, 1135, 477]	990 1017 1135 477
[629, 21, 1133, 748]	629 21 1133 748
[182, 440, 499, 614]	182 440 499 614
[394, 343, 675, 975]	394 343 675 975
[607, 575, 495, 1212]	607 575 495 1212
[983, 893, 75, 985]	983 893 75 985
[560, 897, 606, 105]	560 897 606 105
[706, 940, 219, 793]	706 940 219 793
[348, 14, 61, 504]	348 14 61 504
[320, 229, 425, 1014]	320 229 425 1014
[663, 741, 1167, 308]	663 741 1167 308
[1155, 876, 931, 1189]	1155 876 931 1189
[205, 519, 695, 685]	205 519 695 685
[1275, 305, 350, 1004]	1275 305 350 1004
[1025, 415, 68, 643]	1025 415 68 643
[726, 1109, 741, 703]	726 1109 741 703
[1009, 857, 810, 22]	1009 857 810 22
[914, 568, 701, 699]	914 568 701 699
[1010, 211, 1131, 183]	1010 211 1131 183
[1060, 1093, 45, 712]	1060 1093 45 712
[1062, 408, 198, 1217]	1062 408 198 1217
[285, 1285, 441, 1220]	285 1285 441 1220
[718, 99, 300, 788]	718 99 300 788
[14, 295, 476, 136]	14 295 476 136
[1219, 671, 469, 471]	1219 671 469 471
[142, 779, 863, 965]	142 779 863 965
[1115, 1117, 482, 297]	1115 1117 482 297
[118, 897, 831, 143]	118 897 831 143
[930, 1146, 37, 811]	930 1146 37 811
[1007, 955, 353, 486]	1007 955 353 486
[109, 285, 749, 1156]	109 285 749 1156
[441, 858, 1211, 922]	441 858 1211 922
[277, 429, 1207, 20]	277 429 1207 20
[637, 471, 228, 725]	637 471 228 725
[405, 355, 1068, 907]	405 355 1068 907
[1146, 5, 1041, 611]	1146 5 1041 611
[650, 1189, 676, 1162]	650 1189 676 1162
[1025, 91, 1122, 399]	1025 91 1122 399
[696, 658, 812, 84]	696 658 812 84
[676, 861, 368, 1019]	676 861 368 1019
[664, 586, 242, 211]	664 586 242 211
[459, 619, 1205, 892]	459 619 1205 892
[209, 307, 1187, 40]	209 307 1187 40
[1204, 1040, 1114, 242]	1204 1040 1114 242
[1093, 629, 566, 348]	1093 629 566 348
[438, 888, 359, 1250]	438 888 359 1250
[1010, 1143, 870, 945]	1010 1143 870 945
[325, 175, 124, 817]	325 175 124 817
[1170, 471, 700, 342]	1170 471 700 342
[845, 1162, 926, 622]	845 1162 926 622
[1174, 573, 1227, 1056]	1174 573 1227 1056
[935, 864, 514, 498]	935 864 514 498
[436, 878, 1128, 274]	436 878 1128 274
[633, 377, 386, 263]	633 377 386 263
[1115, 586, 1033, 219]	1115 586 1033 219
[968, 731, 1216, 542]	968 731 1216 542
[396, 89, 1024, 999]	396 89 1024 999
[21, 661, 898, 457]	21 661 898 457
[148, 480, 761, 622]	148 480 761 622
[812, 2, 603, 510]	812 2 603 510
[1166, 1052, 1151, 588]	1166 1052 1151 588
[946, 858, 1147, 493]	946 858 1147 493
[904, 631, 541, 350]	904 631 541 350
[105, 412, 728, 1226]	105 412 728 1226
[226, 1145, 1018, 960]	226 1145 1018 960
[617, 621, 758, 991]	617 621 758 991
[1149, 13, 1151, 1040]	1149 13 1151 1040
[1134, 398, 401, 1096]	1134 398 401 1096
[1109, 533, 545, 355]	1109 533 545 355
[202, 216, 400, 243]	202 216 400 243
[774, 983, 685, 371]	774 983 685 371
[296, 594, 214, 535]	296 594 214 535
[205, 918, 972, 124]	205 918 972 124
[205, 422, 269, 1170]	205 422 269 1170
[605, 27, 455, 849]	605 27 455 849
[1179, 443, 1185, 229]	1179 443 1185 229
[318, 919, 771, 504]	318 919 771 504
[170, 682, 299, 1154]	170 682 299 1154
[1254, 852, 799, 136]	1254 852 799 136
[116, 543, 491, 900]	116 543 491 900
[1209, 600, 919, 1264]	1209 600 919 1264
[283, 54, 162, 997]	283 54 162 997
[723, 917, 1257, 163]	723 917 1257 163
[769, 644, 601, 645]	769 644 601 645
[709, 1005, 665, 1060]	709 1005 665 1060
[454, 1172, 747, 895]	454 1172 747 895
[651, 900, 584, 903]	651 900 584 903
[1063, 15, 603, 417]	1063 15 603 417
[97, 73, 957, 46]	97 73 957 46
[852, 75, 215, 577]	852 75 215 577
[933, 913, 550, 657]	933 913 550 657
[816, 63, 537, 625]	816 63 537 625
[14, 668, 653, 911]	14 668 653 911
[162, 1057, 833, 443]	162 1057 833 443
[39, 1075, 836, 1286]	39 1075 836 1286
[1261, 328, 804, 633]	1261 328 804 633
[1011, 544, 722, 69]	1011 544 722 69
[1195, 69, 611, 1050]	1195 69 611 1050
[281, 366, 845, 112]	281 366 845 112
[647, 1275, 348, 940]	647 1275 348 940
[659, 540, 639, 1270]	659 540 639 1270
[170, 746, 458, 175]	170 746 458 175
[409, 1149, 597, 578]	409 1149 597 578
[1236, 47, 750, 1180]	1236 47 750 1180
[1287, 406, 398, 945]	1287 406 398 945
[599, 71, 182, 1123]	599 71 182 1123
[722, 1127, 1037, 393]	722 1127 1037 393
[529, 521, 620, 333]	529 521 620 333
[476, 321, 454, 854]	476 321 454 854
[596, 73, 780, 1198]	596 73 780 1198
[1223, 1038, 1123, 234]	1223 1038 1123 234
[1047, 459, 395, 516]	1047 459 395 516
[1202, 917, 892, 410]	1202 917 892 410
[921, 273, 581, 1045]	921 273 581 1045
[1275, 755, 715, 552]	1275 755 715 552
[153, 813, 799, 69]	153 813 799 69
[443, 403, 1160, 1029]	443 403 1160 1029
[373, 393, 452, 154]	373 393 452 154
[316, 345, 241, 858]	316 345 241 858
[74, 1022, 957, 318]	74 1022 957 318
[459, 798, 1238, 157]	459 798 1238 157
[991, 369, 997, 941]	991 369 997 941
[471, 227, 446, 875]	471 227 446 875
[814, 266, 328, 495]	814 266 328 495
[16, 736, 1125, 112]	16 736 1125 112
[86, 951, 917, 1114]	86 951 917 1114
[621, 1246, 1096, 386]	621 1246 1096 386
[465, 62, 679, 819]	465 62 679 819
[723, 720, 1187, 1156]	723 720 1187 1156
[379, 44, 148, 1233]	379 44 148 1233
[323, 1250, 816, 6]	323 1250 816 6
[624, 256, 425, 456]	624 256 425 456
[253, 12, 67, 1235]	253 12 67 1235
[516, 669, 130, 622]	516 669 130 622
[1005, 1160, 320, 1263]	1005 1160 320 1263
[956, 388, 162, 316]	956 388 162 316
[279, 171, 791, 1135]	279 171 791 1135
[633, 997, 1130, 1276]	633 997 1130 1276
[674, 814, 878, 1180]	674 814 878 1180
[840, 965, 735, 1034]	840 965 735 1034
[1071, 151, 1200, 512]	1071 151 1200 512
[834, 1043, 82, 809]	834 1043 82 809
[859, 731, 673, 880]	859 731 673 880
[562, 679, 1089, 1002]	562 679 1089 1002
[820, 1238, 860, 957]	820 1238 860 957
[773, 750, 979, 1109]	773 750 979 1109
[658, 58, 510, 416]	658 58 510 416
[1085, 960, 887, 1051]	1085 960 887 1051
[687, 619, 44, 530]	687 619 44 530
[1002, 223, 668, 369]	1002 223 668 369
[301, 324, 318, 936]	301 324 318 936
[321, 1185, 57, 1266]	321 1185 57 1266
[1067, 1165, 341, 0]	1067 1165 341 0
[996, 688, 219, 1148]	996 688 219 1148
[392, 210, 1018, 932]	392 210 1018 932
[210, 379, 768, 839]	210 379 768 839
[1083, 233, 1216, 401]	1083 233 1216 401
[211, 909, 754, 688]	211 909 754 688
[711, 893, 761, 508]	711 893 761 508
[448, 192, 131, 429]	448 192 131 429
[118, 1045, 64, 793]	118 1045 64 793
[660, 1098, 864, 556]	660 1098 864 556
[275, 801, 153, 300]	275 801 153 300
[1137, 1100, 1219, 1196]	1137 1100 1219 1196
[715, 119, 928, 1125]	715 119 928 1125
[108, 552, 1074, 296]	108 552 1074 296
[373, 359, 1131, 46]	373 359 1131 46
[193, 395, 598, 655]	193 395 598 655
[1224, 52, 390, 671]	1224 52 390 671
[87, 359, 1257, 1266]	87 359 1257 1266
[734, 1245, 333, 1043]	734 1245 333 1043
